Name,Hash,VanillaKnock,VanillaKnockPlayer,CurrentKnock,CurrentKnockPlayer
activatehivequeen,8372BA80,0,-1,1000,-1
activatehivequeencharged,12ADE690,0,-1,1000,-1
damagearmadillo,7AE0C662,15,-1,15,-1
damagearmadilloloader,9908C9FE,15,-1,15,-1
damagearmadilloloaderextender,E27EE3FE,15,-1,15,-1
damagebeegun,ADF7DEE1,0,-1,0.1,-1
damagebeegunextendersmall,F06F5DBA,0,-1,0.1,-1
damageboombatqueen,2593D7E2,20,-1,1000,50
damagedynamite,1B2A36F7,20,-1,0,20
damagedynamiteextender,E675A21B,20,-1,1000,1000
damagedynamiteextenderloader,56F3F96B,20,-1,1000,1000
damageriotslug,C4840A58,20,-1,20,-1
damagestingbee,9D2CD827,0.1,-1,0.15,-1
immobilizebolablast,7309C2DC,15,-1,15,-1
immobilizeskunkbomb,8977B284,0,-1,0,-1
immobilizeskunkbombextender,316C1E5E,0,-1,0,-1
immobilizesparkstunkz,199D023C,0,-1,0,-1
immobilizespiderbola,02A2FB34,0,-1,0,-1
immobilizespiderbolaextendermedium,13349037,0,-1,5,-1
immobilizespiderbolaextendersmall,A80AE619,0,-1,5,-1
punch,1BD366E4,0,-1,0,-1
sendtochipmunk,3E3C2685,0,-1,0,-1
sendtochipmunkextender,B370E9CA,0,-1,0,-1
sendtohowlerpunk,87B60D14,0,-1,0,-1
sniperdart,2B365C4D,20,-1,20,-1
trapfuzzle,67F5D230,0,-1,0,-1
trapfuzzlejump,4883CEE4,0,-1,2.5,-1
trapfuzzleloader,1C451DE6,0,-1,1,-1
trapfuzzleloaderextender,E29179A6,0,-1,1,-1
trapfuzzlerabid,A8DE80EE,0,-1,2.5,-1
trapfuzzlerabidjump,2ACA2B15,8,-1,15,-1
