Name,File,Hash,RecOff,OffKnock,OffKnockPlayer
activatehivequeen,data/bundles/region_00/lm_level_00_blockmap.smh,8372BA80,170425,170589,170593
activatehivequeencharged,data/bundles/region_00/lm_level_00_blockmap.smh,12ADE690,91916,92080,92084
damagearmadilloloader,data/bundles/region_00/lm_level_00_blockmap.smh,9908C9FE,185263,185427,185431
damagearmadilloloaderextender,data/bundles/region_00/lm_level_00_blockmap.smh,E27EE3FE,231315,231479,231483
damagebeegun,data/bundles/region_00/lm_level_00_blockmap.smh,ADF7DEE1,197969,198133,198137
damagebeegunextendersmall,data/bundles/region_00/lm_level_00_blockmap.smh,F06F5DBA,241111,241275,241279
damageboombatqueen,data/bundles/region_00/lm_level_00_blockmap.smh,2593D7E2,111365,111529,111533
damagedynamite,data/bundles/region_00/lm_level_00_blockmap.smh,1B2A36F7,106702,106866,106870
damagedynamiteextender,data/bundles/region_00/lm_level_00_blockmap.smh,E675A21B,233867,234031,234035
damagedynamiteextenderloader,data/bundles/region_00/lm_level_00_blockmap.smh,56F3F96B,137389,137553,137557
damageriotslug,data/bundles/region_00/lm_level_00_blockmap.smh,C4840A58,212829,212993,212997
damagestingbee,data/bundles/region_00/lm_level_00_blockmap.smh,9D2CD827,188361,188525,188529
immobilizebolablast,data/bundles/region_00/lm_level_00_blockmap.smh,7309C2DC,160406,160570,160574
immobilizeskunkbombextender,data/bundles/region_00/lm_level_00_blockmap.smh,316C1E5E,119176,119340,119344
immobilizesparkstunkz,data/bundles/region_00/lm_level_00_blockmap.smh,199D023C,105791,105955,105959
immobilizespiderbolaextendermedium,data/bundles/region_00/lm_level_00_blockmap.smh,13349037,92519,92683,92687
immobilizespiderbolaextendersmall,data/bundles/region_00/lm_level_00_blockmap.smh,A80AE619,194335,194499,194503
punch,data/bundles/region_00/lm_level_00_blockmap.smh,1BD366E4,107572,107736,107740
sendtochipmunkextender,data/bundles/region_00/lm_level_00_blockmap.smh,B370E9CA,203686,203850,203854
sendtohowlerpunk,data/bundles/region_00/lm_level_00_blockmap.smh,87B60D14,173185,173349,173353
sniperdart,data/bundles/region_00/lm_level_00_blockmap.smh,2B365C4D,114524,114688,114692
trapfuzzlejump,data/bundles/region_00/lm_level_00_blockmap.smh,4883CEE4,131075,131239,131243
trapfuzzleloader,data/bundles/region_00/lm_level_00_blockmap.smh,1C451DE6,108483,108647,108651
trapfuzzleloaderextender,data/bundles/region_00/lm_level_00_blockmap.smh,E29179A6,231974,232138,232142
trapfuzzlerabid,data/bundles/region_00/lm_level_00_blockmap.smh,A8DE80EE,195313,195477,195481
trapfuzzlerabidjump,data/bundles/region_00/lm_level_00_blockmap.smh,2ACA2B15,113830,113994,113998
activatehivequeen,data/bundles/region_00/lm_level_00/lm_level_00_tgl.smb,8372BA80,170413,170577,170581
activatehivequeencharged,data/bundles/region_00/lm_level_00/lm_level_00_tgl.smb,12ADE690,91904,92068,92072
damagearmadilloloader,data/bundles/region_00/lm_level_00/lm_level_00_tgl.smb,9908C9FE,185251,185415,185419
damagearmadilloloaderextender,data/bundles/region_00/lm_level_00/lm_level_00_tgl.smb,E27EE3FE,231303,231467,231471
damagebeegun,data/bundles/region_00/lm_level_00/lm_level_00_tgl.smb,ADF7DEE1,197957,198121,198125
damagebeegunextendersmall,data/bundles/region_00/lm_level_00/lm_level_00_tgl.smb,F06F5DBA,241099,241263,241267
damageboombatqueen,data/bundles/region_00/lm_level_00/lm_level_00_tgl.smb,2593D7E2,111353,111517,111521
damagedynamite,data/bundles/region_00/lm_level_00/lm_level_00_tgl.smb,1B2A36F7,106690,106854,106858
damagedynamiteextender,data/bundles/region_00/lm_level_00/lm_level_00_tgl.smb,E675A21B,233855,234019,234023
damagedynamiteextenderloader,data/bundles/region_00/lm_level_00/lm_level_00_tgl.smb,56F3F96B,137377,137541,137545
damageriotslug,data/bundles/region_00/lm_level_00/lm_level_00_tgl.smb,C4840A58,212817,212981,212985
damagestingbee,data/bundles/region_00/lm_level_00/lm_level_00_tgl.smb,9D2CD827,188349,188513,188517
immobilizebolablast,data/bundles/region_00/lm_level_00/lm_level_00_tgl.smb,7309C2DC,160394,160558,160562
immobilizeskunkbombextender,data/bundles/region_00/lm_level_00/lm_level_00_tgl.smb,316C1E5E,119164,119328,119332
immobilizesparkstunkz,data/bundles/region_00/lm_level_00/lm_level_00_tgl.smb,199D023C,105779,105943,105947
immobilizespiderbolaextendermedium,data/bundles/region_00/lm_level_00/lm_level_00_tgl.smb,13349037,92507,92671,92675
immobilizespiderbolaextendersmall,data/bundles/region_00/lm_level_00/lm_level_00_tgl.smb,A80AE619,194323,194487,194491
punch,data/bundles/region_00/lm_level_00/lm_level_00_tgl.smb,1BD366E4,107560,107724,107728
sendtochipmunkextender,data/bundles/region_00/lm_level_00/lm_level_00_tgl.smb,B370E9CA,203674,203838,203842
sendtohowlerpunk,data/bundles/region_00/lm_level_00/lm_level_00_tgl.smb,87B60D14,173173,173337,173341
sniperdart,data/bundles/region_00/lm_level_00/lm_level_00_tgl.smb,2B365C4D,114512,114676,114680
trapfuzzlejump,data/bundles/region_00/lm_level_00/lm_level_00_tgl.smb,4883CEE4,131063,131227,131231
trapfuzzleloader,data/bundles/region_00/lm_level_00/lm_level_00_tgl.smb,1C451DE6,108471,108635,108639
trapfuzzleloaderextender,data/bundles/region_00/lm_level_00/lm_level_00_tgl.smb,E29179A6,231962,232126,232130
trapfuzzlerabid,data/bundles/region_00/lm_level_00/lm_level_00_tgl.smb,A8DE80EE,195301,195465,195469
trapfuzzlerabidjump,data/bundles/region_00/lm_level_00/lm_level_00_tgl.smb,2ACA2B15,113818,113982,113986
activatehivequeen,data/bundles/region_01/lm_level_01_blockmap.smh,8372BA80,287860,288024,288028
activatehivequeencharged,data/bundles/region_01/lm_level_01_blockmap.smh,12ADE690,94861,95025,95029
damagearmadilloloader,data/bundles/region_01/lm_level_01_blockmap.smh,9908C9FE,321906,322070,322074
damagearmadilloloaderextender,data/bundles/region_01/lm_level_01_blockmap.smh,E27EE3FE,413154,413318,413322
damagebeegun,data/bundles/region_01/lm_level_01_blockmap.smh,ADF7DEE1,348349,348513,348517
damagebeegunextendersmall,data/bundles/region_01/lm_level_01_blockmap.smh,F06F5DBA,428515,428679,428683
damageboombatqueen,data/bundles/region_01/lm_level_01_blockmap.smh,2593D7E2,154752,154916,154920
damagedynamite,data/bundles/region_01/lm_level_01_blockmap.smh,1B2A36F7,126234,126398,126402
damagedynamiteextender,data/bundles/region_01/lm_level_01_blockmap.smh,E675A21B,416182,416346,416350
damagedynamiteextenderloader,data/bundles/region_01/lm_level_01_blockmap.smh,56F3F96B,226772,226936,226940
damageriotslug,data/bundles/region_01/lm_level_01_blockmap.smh,C4840A58,378252,378416,378420
damagestingbee,data/bundles/region_01/lm_level_01_blockmap.smh,9D2CD827,328277,328441,328445
immobilizebolablast,data/bundles/region_01/lm_level_01_blockmap.smh,7309C2DC,274348,274512,274516
immobilizeskunkbombextender,data/bundles/region_01/lm_level_01_blockmap.smh,316C1E5E,168671,168835,168839
immobilizesparkstunkz,data/bundles/region_01/lm_level_01_blockmap.smh,199D023C,124449,124613,124617
immobilizespiderbolaextendermedium,data/bundles/region_01/lm_level_01_blockmap.smh,13349037,95714,95878,95882
immobilizespiderbolaextendersmall,data/bundles/region_01/lm_level_01_blockmap.smh,A80AE619,341465,341629,341633
punch,data/bundles/region_01/lm_level_01_blockmap.smh,1BD366E4,127104,127268,127272
sendtochipmunkextender,data/bundles/region_01/lm_level_01_blockmap.smh,B370E9CA,355674,355838,355842
sendtohowlerpunk,data/bundles/region_01/lm_level_01_blockmap.smh,87B60D14,292934,293098,293102
sniperdart,data/bundles/region_01/lm_level_01_blockmap.smh,2B365C4D,161515,161679,161683
trapfuzzlejump,data/bundles/region_01/lm_level_01_blockmap.smh,4883CEE4,213544,213708,213712
trapfuzzleloader,data/bundles/region_01/lm_level_01_blockmap.smh,1C451DE6,140441,140605,140609
trapfuzzleloaderextender,data/bundles/region_01/lm_level_01_blockmap.smh,E29179A6,413813,413977,413981
trapfuzzlerabid,data/bundles/region_01/lm_level_01_blockmap.smh,A8DE80EE,342426,342590,342594
trapfuzzlerabidjump,data/bundles/region_01/lm_level_01_blockmap.smh,2ACA2B15,160669,160833,160837
activatehivequeen,data/bundles/region_01/lm_level_01/lm_level_01_tgl.smb,8372BA80,287848,288012,288016
activatehivequeencharged,data/bundles/region_01/lm_level_01/lm_level_01_tgl.smb,12ADE690,94849,95013,95017
damagearmadilloloader,data/bundles/region_01/lm_level_01/lm_level_01_tgl.smb,9908C9FE,321894,322058,322062
damagearmadilloloaderextender,data/bundles/region_01/lm_level_01/lm_level_01_tgl.smb,E27EE3FE,413142,413306,413310
