Hash,Name,HP,Faction,Spawns,Regions
FFFC00CB,outlaw_shooter,60,hostile,241,"Tutorial, Gizzard Gulch, Buzzardton, Mongo Valley, The De-Pantsing"
FDBD2F9C,wolvarkshooter,175,hostile,231,"Wolvark Docks, Last Legs, Sekto Springs Dam"
5CEE67FD,clakker_male,100000,friendly,87,"Tutorial, Gizzard Gulch, Buzzardton, Mongo Valley, The De-Pantsing"
84AB1672,wolvarkmachinegunner,125,hostile,72,"Wolvark Docks, Last Legs, Sekto Springs Dam"
F0315D54,wolvarkgrenadier,100,hostile,57,"Wolvark Docks, Last Legs, Sekto Springs Dam"
0E997260,clakker_female,100000,friendly,47,"Gizzard Gulch, Buzzardton, Mongo Valley, The De-Pantsing"
2D8CF05F,outlawsemiauto,150,hostile,44,"Buzzardton, Mongo Valley"
B6FE5A75,grubb_male,100000,friendly,40,"Buzzardton, Wolvark Docks"
2F1D4FF5,sewerslog,9,hostile,39,Buzzardton
072A64D6,outlaw_cutter,45,hostile,36,"Tutorial, Gizzard Gulch, Buzzardton, Mongo Valley, The De-Pantsing"
6A6A4558,outlaw_sniper,45,hostile,31,"Gizzard Gulch, Buzzardton, Mongo Valley"
5629AD35,outlawsuicidebomber,150,hostile,28,"Buzzardton, Mongo Valley"
FF0100ED,outlaw_mortar,125,hostile,25,"Gizzard Gulch, Buzzardton, Mongo Valley, The De-Pantsing"
FF32E523,outlaw_nailer,150,hostile,25,"Buzzardton, Mongo Valley, The De-Pantsing"
3EE6BB58,grubb_female,100000,friendly,21,Wolvark Docks
E974A99C,outlaw_hunter,45,hostile,19,Mongo Valley
E0A31269,outlaw_shooter_minecart,45,hostile,19,Mongo Valley
6CA190AC,clakker_male (variant),100000,friendly,18,"Gizzard Gulch, Buzzardton"
B03890D0,wolvarksniper (variant),45,hostile,18,Sekto Springs Dam
B42B865B,grubbsoldier,100,hostile,17,Sekto Springs Dam
20F622E5,wolvarksloghandler,125,hostile,15,"Wolvark Docks, Last Legs, Sekto Springs Dam"
36ED7834,grubb_winter,100000,friendly,13,Last Legs
65DB9849,outlaw_cutter_chippunk_tut,45,hostile,13,Tutorial
31D1280E,wolvarksniper,45,hostile,13,"Last Legs, Sekto Springs Dam"
7C6717E1,slog,3,hostile,10,"Buzzardton, Mongo Valley"
BAF35C16,clakker_clerk,100000,friendly,8,"Gizzard Gulch, Buzzardton, Mongo Valley"
F98DFA43,grubb_armored,100000,friendly,7,"Wolvark Docks, Last Legs"
B5A32E92,outlawflamethrower,200,hostile,7,"Buzzardton, Mongo Valley"
DDD3C8B8,outlaw_cutter_geisha,45,hostile,6,"Tutorial, The De-Pantsing"
151F4B4E,shocktank,750,hostile,6,"Last Legs, Sekto Springs Dam"
B183723A,unidentified,100000,friendly,6,The De-Pantsing
C9F81B7E,dcasteraider,250,hostile,3,"Mongo Valley, The De-Pantsing"
E7EBC893,grubb_leader,100000,friendly,3,"Wolvark Docks, Last Legs"
E33BE973,wolvarkgunner,175,hostile,3,Sekto Springs Dam
300596C6,armoredgloktigi,2000,hostile,2,Sekto Springs Dam
3E4F6569,bargekeeper,100000,friendly,2,Mongo Valley
3670CD9C,clakker_sleghunter,100000,friendly,2,Mongo Valley
C766CCA2,eugeneius,100000,friendly,2,Buzzardton
606283C9,farmerbeaks,100000,friendly,2,Buzzardton
2F4A8582,femaleclakker,100000,friendly,2,Buzzardton
450E9598,gloktigi,2000,hostile,2,"Last Legs, Sekto Springs Dam"
4E169515,lefty_lugnutz,650,hostile,2,Mongo Valley
F4DC66D8,minecartxplosives,10000,hostile,2,Mongo Valley
6265E0D3,outlaw_mortar_duke,125,hostile,2,Gizzard Gulch
4312CE47,outlawboss_lootenduke,300,hostile,2,Gizzard Gulch
2BEC04A1,outlaws_shooter_meleeonly,60,hostile,2,Tutorial
AB444625,sewerworker,100000,friendly,2,Buzzardton
ECF8307A,skycart_joe,100000,friendly,2,Mongo Valley
879B644E,(unidentified),150,hostile,1,Sekto Springs Dam
57009F0C,fattymcboomboom,700,hostile,1,Mongo Valley
018AD12D,giantslog,550,hostile,1,Mongo Valley
214F50C8,grubb_injured,100000,friendly,1,Wolvark Docks
44E4794D,jailed_blisterz,100000,friendly,1,Gizzard Gulch
C58894A9,jailed_floydd,100000,friendly,1,Gizzard Gulch
9419779C,jailed_lootenduke,100000,friendly,1,Gizzard Gulch
35179A52,jomama,1500,hostile,1,Buzzardton
B28A48AA,meaglymcgraw,500,hostile,1,Buzzardton
E2B247BD,outlawboss_blisterz,100000,friendly,1,Tutorial
155A0299,outlawboss_boilz,500,hostile,1,Gizzard Gulch
B53065FF,outlawboss_elbowz,400,hostile,1,Mongo Valley
FF61B694,outlawboss_floydd,200,hostile,1,Gizzard Gulch
2B6A3743,patrackpalooka,900,hostile,1,Buzzardton
97C44232,sektoboss,300,hostile,1,Sekto Springs Dam
CAB666AF,sektosdeathray,5000,hostile,1,Sekto Springs Dam
4D82B2A2,tiny(?),600,hostile,1,Buzzardton
C387D977,vykkerdoc,100000,friendly,1,Gizzard Gulch
0BB34EB7,xplosivesmcgee,750,hostile,1,Mongo Valley
