Key,Name,Asset,Count,Bundle,Zones,BakedZones
686859EE,Savanna Tree 01,savanna_tree_01.geo,44,zonebundle_175.smb,24;25;26;27;28;63;64;65;66,24;25;26;27;28;63;64;65;66
E4319968,Cardboard Box 02,cardboard_box_02.geo,42,zonebundle_20.smb,1;3;4;5,1;3;4;5
71C167D3,Townsfolk,townsfolk.geo,41,npc_4.smb,*,*
CE936F0C,Destructible Plank 04,destructible_plank_04.geo,41,zonebundle_219.smb,38,38
36FE4ADF,Red Grass 01,red_grass_01.geo,40,zonebundle_53.smb,2;8;12;13;14;15;16;17;19;20;21;22;23;24;25;26;27;28;30;31;32;33;34;35;36;38;39;40;41;42;43;45;50;53;54;57;58;67;68;69,2;8;12;13;14;15;16;17;19;20;21;22;23;24;25;26;27;28;30;31;32;33;34;35;36;38;39;40;41;42;43;45;50;53;54;57;58;67;68;69
62A5EBC6,Cardboard Box 01,cardboard_box_01.geo,39,zonebundle_20.smb,1;3;4;5,1;3;4;5
038BB7B5,Power Line Wallmount 01,power_line_wallmount_01.geo,38,zonebundle_145.smb,12,12
FBD57612,Destructible Picketfence,destructible_picketfence.geo,37,zonebundle_177.smb,24;25;28;64;65;66,24;25;28;64;65;66
CCA1DB0C,Insulator 01,insulator_01.geo,36,zonebundle_87.smb,2,2
E0DBC364,Power Line Wallmount 01,power_line_wallmount_01.geo,35,zonebundle_131.smb,12;24;26;27;28;63,12;24;26;27;28;63
05FC9BA6,,,34,,?,?
173075B0,De Railing NPCdamageable,de_railing_NPCdamageable.geo,34,zonebundle_145.smb,12,12
60540B38,Savanna Tree 01,savanna_tree_01.geo,32,zonebundle_144.smb,12;50,12;50
4E302E0E,Dead Bush 01,dead_bush_01.geo,29,zonebundle_31.smb,2;3;8;12;13;14;17;19;20;21;24;25;26;27;28;30;31;32;33;34;36;38;39;40;41;42;43;44;50,2;3;8;12;13;14;17;19;20;21;24;25;26;27;28;30;31;32;33;34;36;38;39;40;41;42;43;44;50
1B37D280,Savanna Tree 01,savanna_tree_01.geo,26,zonebundle_152.smb,13,13
C4716120,Destructible Woodenfence,destructible_woodenfence.geo,26,zonebundle_10.smb,1;2;3;4;5,1;2;3;4;5
E6671FB9,Lampshade,lampshade.geo,26,zonebundle_87.smb,2,2
36F38033,Power Line Wallmount 01,power_line_wallmount_01.geo,23,zonebundle_215.smb,38;41;42;43;77,38;41;42;43;77
DF5F72C6,Red Daisy 01,Red_daisy_01.geo,23,zonebundle_121.smb,10;12;13;14;16;24;25;28;30;31;32;33;34;36;39;52;66;69,10;12;13;14;16;24;25;28;30;31;32;33;34;36;39;52;66;69
5AAE95F0,Destructible Picketfence,destructible_picketfence.geo,22,zonebundle_87.smb,2,2
7E20CF1D,Light Round Orange,light_round_orange.geo,22,zonebundle_42.smb,2;4;13;14;15;16;17;19;20;21;22;23;24;25;28;30;31;32;33;34;68,2;4;13;14;15;16;17;19;20;21;22;23;24;25;28;30;31;32;33;34;68
