Key,Name,Asset,Count,Bundle,Zones,BakedZones
6CB89E1D,Canopy Tree 01,canopy_tree_01.geo,868,zonebundle_5.smb,2;4;5;6;7;9;10;14;17;18;20,2;4;5;6;7;9;10;14;17;18;20
E726DD0E,Lampshade,lampshade.geo,68,zonebundle_17.smb,3;4;6;7;8;10;11;12;13;14,3;4;6;7;8;10;11;12;13;14
81670E55,Palette 01,palette_01.geo,46,zonebundle_40.smb,4;7;10;11;12,4;7;10;11;12
CF14F27B,Cardboard Box 01,cardboard_box_01.geo,20,zonebundle_17.smb,3;4;6;7;8;10;11;12;13;14,3;4;6;7;8;10;11;12;13;14
EB950E17,WindowGunner,WindowGunner.geo,20,zonebundle_38.smb,4;7;8;20,4;7;8;20
6D98753B,Nonjumpable Crate 01,nonjumpable_crate_01.geo,19,zonebundle_71.smb,10;11,10;11
1C41269B,Hot Coals 01,hot_coals_01.geo,17,zonebundle_70.smb,10;11;14,10;11;14
2B3EEB21,Cargo Net 01,cargo_net_01.geo,17,zonebundle_69.smb,10;11;12,10;11;12
86BEE73F,Storage Cabinet 01,storage_cabinet_01.geo,16,zonebundle_71.smb,10;11,10;11
B8679CDB,Trashcan 01,trashcan_01.geo,14,zonebundle_38.smb,4;7;8;20,4;7;8;20
13F47DC7,TownsfolkFemale,townsfolkFemale.geo,13,npc_14.smb,*,*
AE44673D,Barrel Explosive,barrel_explosive.geo,13,zonebundle_40.smb,4;7;10;11;12,4;7;10;11;12
94CA1A45,Light Round Orange,light_round_orange.geo,12,zonebundle_25.smb,3;7;8,3;7;8
C22A64CA,Destructible Crate Apples,destructible_crate_apples.geo,12,zonebundle_44.smb,4;10;11;12;13;14,4;10;11;12;13;14
053D7B1F,Kitchenchair 01,kitchenchair_01.geo,11,zonebundle_27.smb,3;8;11,3;8;11
02367778,Town Door 02,town_door_02.geo,10,zonebundle_25.smb,3;7;8,3;7;8
05FC9BA6,,,9,,?,?
429AC7BF,Destructible Boards 02,destructible_boards_02.geo,9,zonebundle_40.smb,4;7;10;11;12,4;7;10;11;12
498080D5,Cardboard Box 02,cardboard_box_02.geo,9,zonebundle_17.smb,3;4;6;7;8;10;11;12;13;14,3;4;6;7;8;10;11;12;13;14
931E1A8F,Barrel Explosive Castaraider,barrel_explosive_castaraider.geo,9,zonebundle_74.smb,10,10
D55DB9EB,Wall Outlaw 02,wall_outlaw_02.geo,9,zonebundle_44.smb,4;10;11;12;13;14,4;10;11;12;13;14
D9D56033,Destructible Barrel 01,destructible_barrel_01.geo,9,zonebundle_17.smb,3;4;6;7;8;10;11;12;13;14,3;4;6;7;8;10;11;12;13;14
1492B4E4,Destructible Mailbox,destructible_mailbox.geo,8,zonebundle_57.smb,7;8,7;8
29CCDF0D,Door Backing,door_backing.geo,8,zonebundle_57.smb,7;8,7;8
53A1505B,Destructible Crate,destructible_crate.geo,8,zonebundle_30.smb,4;5;6,4;5;6
9115682A,Insulator 01,insulator_01.geo,8,zonebundle_50.smb,5,5
53C9CB45,Wall Outlaw 01,wall_outlaw_01.geo,7,zonebundle_70.smb,10;11;14,10;11;14
71C167D3,Townsfolk,townsfolk.geo,7,npc_16.smb,*,*
D26FA6F4,Minebox 02,minebox_02.geo,7,zonebundle_71.smb,10;11,10;11
68641644,De Region03 Outlaw01 Small Shack,de_region03_outlaw01_small_shack.geo,6,zonebundle_48.smb,4,4
68D6D48B,Warning Woodenbarrier,warning_woodenbarrier.geo,6,zonebundle_30.smb,4;5;6,4;5;6
A1BB1A5A,TownsfolkKid,townsfolkKid.geo,6,npc_15.smb,*,*
F4F41958,Sewerlamp Hanging 01,sewerlamp_hanging_01.geo,6,zonebundle_50.smb,5,5
14AC5272,Grass Thin,grass_thin.geo,5,zonebundle_8.smb,2;4;6;8;9,2;4;6;8;9
