"Slot","Offset","Hash","Name","HP","Faction","WeaponHash","FireRateMs"
"0","0x00DA01","BAF35C16","clakker_clerk","100000","friendly","",""
"1","0x011675","BAF35C16","clakker_clerk","100000","friendly","",""
"2","0x0117BA","44E4794D","jailed_blisterz","100000","friendly","",""
"3","0x011883","C58894A9","jailed_floydd","100000","friendly","",""
"4","0x01194C","9419779C","jailed_lootenduke","100000","friendly","",""
"5","0x01302E","BAF35C16","clakker_clerk","100000","friendly","",""
"6","0x014C83","BAF35C16","clakker_clerk","100000","friendly","",""
"7","0x01BD0E","C387D977","vykkerdoc","100000","friendly","",""
"8","0x022DD7","5CEE67FD","clakker_male","100000","friendly","",""
"9","0x022EDE","5CEE67FD","clakker_male","100000","friendly","",""
"10","0x0241A4","5CEE67FD","clakker_male","100000","friendly","",""
"11","0x024E7B","5CEE67FD","clakker_male","100000","friendly","",""
"12","0x024F44","5CEE67FD","clakker_male","100000","friendly","",""
"13","0x026F44","5CEE67FD","clakker_male","100000","friendly","",""
"14","0x0284B1","5CEE67FD","clakker_male","100000","friendly","",""
"15","0x0285B8","0E997260","clakker_female","100000","friendly","",""
"16","0x0286BF","0E997260","clakker_female","100000","friendly","",""
"17","0x0287C6","5CEE67FD","clakker_male","100000","friendly","",""
"18","0x0288CD","0E997260","clakker_female","100000","friendly","",""
"19","0x028CC2","5CEE67FD","clakker_male","100000","friendly","",""
"20","0x028DC9","0E997260","clakker_female","100000","friendly","",""
"21","0x028ED0","5CEE67FD","clakker_male","100000","friendly","",""
"22","0x028FD7","5CEE67FD","clakker_male","100000","friendly","",""
"23","0x0290DE","5CEE67FD","clakker_male","100000","friendly","",""
"24","0x0291E5","5CEE67FD","clakker_male","100000","friendly","",""
"25","0x02A219","0E997260","clakker_female","100000","friendly","",""
"26","0x02A320","5CEE67FD","clakker_male","100000","friendly","",""
"27","0x02A3E9","0E997260","clakker_female","100000","friendly","",""
"28","0x02A4B2","0E997260","clakker_female","100000","friendly","",""
"29","0x02D6C9","5CEE67FD","clakker_male","100000","friendly","",""
"30","0x02D7D0","5CEE67FD","clakker_male","100000","friendly","",""
"31","0x02D899","5CEE67FD","clakker_male","100000","friendly","",""
"32","0x02D962","5CEE67FD","clakker_male","100000","friendly","",""
"33","0x02DA2B","5CEE67FD","clakker_male","100000","friendly","",""
"34","0x02DB32","5CEE67FD","clakker_male","100000","friendly","",""
"35","0x02DBFB","0E997260","clakker_female","100000","friendly","",""
"36","0x02DD02","0E997260","clakker_female","100000","friendly","",""
"37","0x02DE09","0E997260","clakker_female","100000","friendly","",""
"38","0x02DF10","0E997260","clakker_female","100000","friendly","",""
"39","0x02E017","5CEE67FD","clakker_male","100000","friendly","",""
"40","0x02E11E","0E997260","clakker_female","100000","friendly","",""
"41","0x02ECB7","FFFC00CB","outlaw_shooter","60","hostile","F0DF813D","1300"
"42","0x02ED80","FFFC00CB","outlaw_shooter","60","hostile","F0DF813D","1300"
"43","0x02EE49","FFFC00CB","outlaw_shooter","60","hostile","F0DF813D","1300"
"44","0x02EF12","FFFC00CB","outlaw_shooter","60","hostile","F0DF813D","1300"
"45","0x02EFDB","FFFC00CB","outlaw_shooter","60","hostile","F0DF813D","1300"
"46","0x02F0A4","FFFC00CB","outlaw_shooter","60","hostile","F0DF813D","1300"
"47","0x02F16D","155A0299","outlawboss_boilz","500","hostile","","0"
"48","0x02F236","FFFC00CB","outlaw_shooter","60","hostile","F0DF813D","1300"
"49","0x02F2FF","FFFC00CB","outlaw_shooter","60","hostile","F0DF813D","1300"
"50","0x02F5FB","5CEE67FD","clakker_male","100000","friendly","",""
"51","0x02F6C4","0E997260","clakker_female","100000","friendly","",""
"52","0x02F7CB","5CEE67FD","clakker_male","100000","friendly","",""
"53","0x02F8D2","5CEE67FD","clakker_male","100000","friendly","",""
"54","0x03AAD3","072A64D6","outlaw_cutter","45","hostile","57664213","1000"
"55","0x03AB9C","6CA190AC","clakker_male (variant)","100000","friendly","",""
"56","0x03AC65","6CA190AC","clakker_male (variant)","100000","friendly","",""
"57","0x03AD2E","6CA190AC","clakker_male (variant)","100000","friendly","",""
"58","0x03ADF7","6CA190AC","clakker_male (variant)","100000","friendly","",""
"59","0x03AEC0","FF61B694","outlawboss_floydd","200","hostile","","10000"
"60","0x03AF89","072A64D6","outlaw_cutter","45","hostile","57664213","1000"
"61","0x03B052","072A64D6","outlaw_cutter","45","hostile","57664213","1000"
"62","0x03B11B","6CA190AC","clakker_male (variant)","100000","friendly","",""
"63","0x03C228","072A64D6","outlaw_cutter","45","hostile","57664213","1000"
"64","0x03C2F1","0E997260","clakker_female","100000","friendly","",""
"65","0x03C3F8","5CEE67FD","clakker_male","100000","friendly","",""
"66","0x03C4C1","0E997260","clakker_female","100000","friendly","",""
"67","0x03C5C8","5CEE67FD","clakker_male","100000","friendly","",""
"68","0x03C691","0E997260","clakker_female","100000","friendly","",""
"69","0x03C798","5CEE67FD","clakker_male","100000","friendly","",""
"70","0x03C8E0","5CEE67FD","clakker_male","100000","friendly","",""
"71","0x03CA28","072A64D6","outlaw_cutter","45","hostile","57664213","1000"
"72","0x03CAF1","072A64D6","outlaw_cutter","45","hostile","57664213","1000"
"73","0x03CBBA","072A64D6","outlaw_cutter","45","hostile","57664213","1000"
"74","0x03D571","6CA190AC","clakker_male (variant)","100000","friendly","",""
"75","0x03D63A","6CA190AC","clakker_male (variant)","100000","friendly","",""
"76","0x03D703","6CA190AC","clakker_male (variant)","100000","friendly","",""
"77","0x03D7CC","6CA190AC","clakker_male (variant)","100000","friendly","",""
"78","0x03D895","6CA190AC","clakker_male (variant)","100000","friendly","",""
"79","0x03D95E","5CEE67FD","clakker_male","100000","friendly","",""
"80","0x03DA65","0E997260","clakker_female","100000","friendly","",""
"81","0x03DB6C","5CEE67FD","clakker_male","100000","friendly","",""
"82","0x03DC35","5CEE67FD","clakker_male","100000","friendly","",""
"83","0x03DCFE","FFFC00CB","outlaw_shooter","60","hostile","F0DF813D","1300"
"84","0x03DDC7","FFFC00CB","outlaw_shooter","60","hostile","F0DF813D","1300"
"85","0x03DF13","FFFC00CB","outlaw_shooter","60","hostile","F0DF813D","1300"
"86","0x03DFDC","FFFC00CB","outlaw_shooter","60","hostile","F0DF813D","1300"
