"Slot","Offset","Hash","Name","HP","Faction","WeaponHash","FireRateMs"
"0","0x0234F2","FF32E523","outlaw_nailer","150","hostile","",""
"1","0x027A30","072A64D6","outlaw_cutter","45","hostile","57664213","1000"
"2","0x027AF9","FFFC00CB","outlaw_shooter","60","hostile","F0DF813D","1300"
"3","0x02E40F","DDD3C8B8","outlaw_cutter_geisha","45","hostile","",""
"4","0x02E4D8","DDD3C8B8","outlaw_cutter_geisha","45","hostile","",""
"5","0x02E5A1","DDD3C8B8","outlaw_cutter_geisha","45","hostile","",""
"6","0x02E66A","DDD3C8B8","outlaw_cutter_geisha","45","hostile","",""
"7","0x02E733","C9F81B7E","dcasteraider","250","hostile","",""
"8","0x02E7FC","FFFC00CB","outlaw_shooter","60","hostile","F0DF813D","1300"
"9","0x02E8C5","FFFC00CB","outlaw_shooter","60","hostile","F0DF813D","1300"
"10","0x02E98E","FFFC00CB","outlaw_shooter","60","hostile","F0DF813D","1300"
"11","0x035B8B","5CEE67FD","clakker_male","100000","friendly","",""
"12","0x035C54","0E997260","clakker_female","100000","friendly","",""
"13","0x03D2A2","FF0100ED","outlaw_mortar","125","hostile","5D994255","0"
"14","0x03D36B","FFFC00CB","outlaw_shooter","60","hostile","F0DF813D","1300"
"15","0x03D434","FFFC00CB","outlaw_shooter","60","hostile","F0DF813D","1300"
"16","0x03D4FD","FFFC00CB","outlaw_shooter","60","hostile","F0DF813D","1300"
"17","0x03D5C6","FFFC00CB","outlaw_shooter","60","hostile","F0DF813D","1300"
"18","0x03D68F","FFFC00CB","outlaw_shooter","60","hostile","F0DF813D","1300"
"19","0x0509CC","5CEE67FD","clakker_male","100000","friendly","",""
"20","0x050A95","5CEE67FD","clakker_male","100000","friendly","",""
"21","0x050B5E","5CEE67FD","clakker_male","100000","friendly","",""
"22","0x050C27","5CEE67FD","clakker_male","100000","friendly","",""
"23","0x050CF0","5CEE67FD","clakker_male","100000","friendly","",""
"24","0x053F58","B183723A","unidentified","100000","friendly","",""
"25","0x054021","B183723A","unidentified","100000","friendly","",""
"26","0x0540EA","B183723A","unidentified","100000","friendly","",""
"27","0x0541B3","0E997260","clakker_female","100000","friendly","",""
"28","0x05427C","0E997260","clakker_female","100000","friendly","",""
"29","0x054345","0E997260","clakker_female","100000","friendly","",""
"30","0x05440E","5CEE67FD","clakker_male","100000","friendly","",""
"31","0x0544D7","0E997260","clakker_female","100000","friendly","",""
"32","0x0545A0","0E997260","clakker_female","100000","friendly","",""
"33","0x054669","0E997260","clakker_female","100000","friendly","",""
"34","0x054732","0E997260","clakker_female","100000","friendly","",""
"35","0x0547FB","0E997260","clakker_female","100000","friendly","",""
"36","0x0548C4","0E997260","clakker_female","100000","friendly","",""
"37","0x05498D","0E997260","clakker_female","100000","friendly","",""
"38","0x054A56","0E997260","clakker_female","100000","friendly","",""
"39","0x054B1F","B183723A","unidentified","100000","friendly","",""
"40","0x054BE8","0E997260","clakker_female","100000","friendly","",""
"41","0x054CB1","B183723A","unidentified","100000","friendly","",""
"42","0x054D7A","B183723A","unidentified","100000","friendly","",""
