Slot,Tag,Hash,Name,X,Y,Z,Yaw,Job
0,309FB00B,5CEE67FD,clakker_male,-398.6,-0.11,-10.6,132.76,y
1,2984814A,5CEE67FD,clakker_male,-398.45,2.06,-9.82,31.7,y
2,590D90E1,5CEE67FD,clakker_male,-344.54,-19.5,3.25,-0.03,y
3,3CBAACB5,FFFC00CB,outlaw_shooter,-560.26,-7.68,-29.16,87.59,n
4,F327E257,072A64D6,outlaw_cutter,-584.41,-27.36,-20.69,-42.68,n
5,72395045,FFFC00CB,outlaw_shooter,-601.98,3.99,-20.6,104.28,n
6,3D78C682,FFFC00CB,outlaw_shooter,-604.96,41.33,-20.45,-3.77,n
7,2E9DD04A,FFFC00CB,outlaw_shooter,-570.73,-26.2,-20.46,87.59,n
8,6B226104,FFFC00CB,outlaw_shooter,-572.5,22.03,-20.45,47.9,n
9,0E8CCE37,FFFC00CB,outlaw_shooter,-503.85,-21.38,-29.12,-18.33,y
10,1797FF76,FFFC00CB,outlaw_shooter,-506.23,-16.8,-29.12,-34.45,y
11,C7972E08,FFFC00CB,outlaw_shooter,-565.43,24.64,-20.4,132.79,y
12,DE8C1F49,FFFC00CB,outlaw_shooter,-595.38,74.58,-28.79,132.79,y
13,59140386,FFFC00CB,outlaw_shooter,-463.25,56.5,-20.57,132.79,y
14,3F3E78DB,FFFC00CB,outlaw_shooter,-594.42,-39.14,-29.55,132.79,y
15,164C0626,6CA190AC,clakker_male (variant),-443.05,57.92,-16.43,-58.01,y
16,4016A1A0,6CA190AC,clakker_male (variant),-445.92,44.62,-20.88,120.82,y
17,78CA785C,6CA190AC,clakker_male (variant),-511.24,-20.53,-28.58,0.0,y
18,61D1491D,6CA190AC,clakker_male (variant),-522.23,-0.45,-29.22,0.0,y
19,E64955D2,6CA190AC,clakker_male (variant),-521.81,-4.96,-29.34,0.0,y
20,FF526493,6CA190AC,clakker_male (variant),-525.58,36.6,-29.32,0.0,y
21,CD640611,6CA190AC,clakker_male (variant),-510.09,43.31,-30.09,-37.75,y
22,7D989895,606283C9,farmerbeaks,-584.14,21.42,-20.07,13.32,y
23,11560504,4D82B2A2,tiny(?),-563.69,39.1,-20.0,-79.42,y
24,9DBEC4DA,B28A48AA,meaglymcgraw,-548.2,50.2,-20.55,100.98,y
25,39D01334,0E997260,clakker_female,-584.62,-11.97,-28.13,-166.42,y
26,12FD40F7,2F4A8582,femaleclakker,-579.72,51.07,-29.44,-87.4,y
27,0BE671B6,2F4A8582,femaleclakker,-574.26,55.43,-29.44,-178.41,y
28,42498C9E,FFFC00CB,outlaw_shooter,-518.07,26.26,-29.38,-138.36,y
29,BC667490,072A64D6,outlaw_cutter,-517.61,23.81,-28.79,17.6,y
30,A57D45D1,072A64D6,outlaw_cutter,-530.25,34.9,-29.03,-56.0,y
31,6964DF5D,FFFC00CB,outlaw_shooter,-576.93,23.01,-29.26,92.99,n
32,A905CC85,FFFC00CB,outlaw_shooter,-541.9,-12.57,-29.26,-26.75,n
33,7061EA4A,FF0100ED,outlaw_mortar,-154.31,19.36,-14.7,-90.1,n
34,5B4CB989,FF0100ED,outlaw_mortar,-155.35,11.24,-16.79,-80.63,n
35,425788C8,FF0100ED,outlaw_mortar,-137.37,55.62,-1.28,-0.0,n
36,0D161E0F,FF0100ED,outlaw_mortar,-134.63,47.72,-3.72,-0.0,n
