Slot,Tag,Hash,Name,X,Y,Z,Yaw,Job
0,7A30C104,FF32E523,outlaw_nailer,-91.96,-299.09,-124.86,-171.09,n
1,4F31041D,072A64D6,outlaw_cutter,-60.29,-277.07,-124.83,83.54,n
2,C49DF050,FFFC00CB,outlaw_shooter,-60.4,-279.67,-125.03,89.01,n
3,007092DA,DDD3C8B8,outlaw_cutter_geisha,-60.15,-223.66,-112.16,94.57,n
4,714B3866,DDD3C8B8,outlaw_cutter_geisha,-60.28,-233.77,-112.2,110.11,n
5,C199317E,DDD3C8B8,outlaw_cutter_geisha,-63.25,-221.53,-112.58,59.74,n
6,562A355C,DDD3C8B8,outlaw_cutter_geisha,-60.13,-227.26,-112.16,94.57,n
7,300A1D8A,C9F81B7E,dcasteraider,-69.57,-223.38,-112.19,88.39,y
8,EFB0A393,FFFC00CB,outlaw_shooter,-60.4,-236.05,-112.4,172.42,n
9,92C757D6,FFFC00CB,outlaw_shooter,-65.83,-234.23,-112.32,89.01,n
10,8BDC6697,FFFC00CB,outlaw_shooter,-68.1,-217.95,-112.35,89.01,n
11,83E16F69,5CEE67FD,clakker_male,-504.82,129.1,-205.3,-126.68,y
12,96B30C69,0E997260,clakker_female,-506.32,131.16,-205.39,-3.04,y
13,29EB01F1,FF0100ED,outlaw_mortar,-205.94,-254.59,-84.5,-59.28,n
14,83586C53,FFFC00CB,outlaw_shooter,-205.68,-251.49,-84.88,-74.12,n
15,9A435D12,FFFC00CB,outlaw_shooter,-211.05,-252.79,-84.88,-74.12,n
16,E734A957,FFFC00CB,outlaw_shooter,-205.1,-265.27,-87.43,-74.12,n
17,CC19FA94,FFFC00CB,outlaw_shooter,-205.28,-269.11,-87.43,-74.12,n
18,D502CBD5,FFFC00CB,outlaw_shooter,-205.13,-267.02,-87.49,-74.12,n
19,DF249706,5CEE67FD,clakker_male,-342.6,-99.96,-198.46,-124.75,n
20,C63FA647,5CEE67FD,clakker_male,-344.68,-103.9,-198.22,-122.99,n
21,906501C1,5CEE67FD,clakker_male,-336.47,-98.28,-198.26,61.92,n
22,4AFC385E,5CEE67FD,clakker_male,-335.1,-96.98,-198.52,51.45,n
23,4B3E5269,5CEE67FD,clakker_male,-332.95,-98.9,-198.22,-122.99,n
24,1730482E,B183723A,unidentified,-452.76,-49.8,-202.73,0.0,n
25,0E2B796F,B183723A,unidentified,-451.37,-49.59,-202.55,0.0,n
26,416AEFA8,B183723A,unidentified,-451.07,-50.98,-202.47,0.0,n
27,12B9F8EB,0E997260,clakker_female,-467.33,-76.06,-205.66,143.1,n
28,5DF86E2C,0E997260,clakker_female,-437.94,-66.37,-202.06,63.4,n
29,44E35F6D,0E997260,clakker_female,-452.44,-51.26,-202.81,0.0,n
30,FB6188A8,5CEE67FD,clakker_male,-376.33,-71.64,-187.12,149.16,n
31,3F1C7B93,0E997260,clakker_female,-498.74,-113.94,-210.43,101.86,n
32,26074AD2,0E997260,clakker_female,-498.65,-111.72,-212.2,101.86,n
33,14312850,0E997260,clakker_female,-485.52,-89.21,-205.94,101.86,n
34,43A9E5E1,0E997260,clakker_female,-450.0,-62.09,-203.11,101.86,n
35,6884B622,0E997260,clakker_female,-470.1,-72.54,-208.5,101.86,n
36,719F8763,0E997260,clakker_female,-533.68,-85.1,-215.31,101.86,n
37,3EDE11A4,0E997260,clakker_female,-515.71,-82.22,-213.91,101.86,n
38,D91DDB34,0E997260,clakker_female,-514.56,-53.51,-201.6,25.14,n
39,3C1D1BED,B183723A,unidentified,-491.94,-72.1,-200.4,0.0,n
40,6FCE0CAE,0E997260,clakker_female,-486.32,-97.13,-200.11,25.14,n
41,6A47BC6B,B183723A,unidentified,-489.17,-84.46,-200.01,0.0,n
42,EDDFA0A4,B183723A,unidentified,-494.55,-59.27,-200.05,0.0,n
